XNE = "countries/GermanUnion.txt" #Prussia

GRU = "countries/Goebbels.txt"
FRP = "countries/Goebbels.txt"
SKN = "countries/Goebbels.txt"
MOS = "countries/Goebbels.txt"
DKS = "countries/Goebbels.txt"
RUT = "countries/Goebbels.txt"
BAL = "countries/Goebbels.txt"
VSJ = "countries/Goebbels.txt"
VST = "countries/Goebbels.txt"

GGB = "countries/WestEur.txt"
CRN = "countries/Goebbels.txt"
RRB = "countries/Goebbels.txt"
BRI = "countries/Goebbels.txt"
RFA = "countries/Goebbels.txt"
IBR = "countries/WestEur.txt"
ITT = "countries/WestEur.txt"
IEA = "countries/WestEur.txt"
HNG = "countries/WestEur.txt"
PSS = "countries/Goebbels.txt"

VLG = "countries/CollapsRussian.txt"
GRF = "countries/CollapsRussian.txt"
GOR = "countries/CollapsRussian.txt"
VYT = "countries/CollapsRussian.txt"
IZH = "countries/CollapsRussian.txt"
TTR = "countries/CollapsRussian.txt"
PRM = "countries/CollapsRussian.txt"
BSK = "countries/CollapsRussian.txt"
RRV = "countries/CollapsRussian.txt"
ORB = "countries/CollapsRussian.txt"
URP = "countries/CollapsRussian.txt"
ZLT = "countries/CollapsRussian.txt"
DRL = "countries/CollapsRussian.txt"
NWP = "countries/CollapsRussian.txt"
KZK = "countries/CollapsRussian.txt"
GGL = "countries/CollapsRussian.txt"
SMR = "countries/CollapsRussian.txt"
PTS = "countries/CollapsRussian.txt"
PVD = "countries/CollapsRussian.txt"
TMN = "countries/CollapsRussian.txt"
SVD = "countries/CollapsRussian.txt"
SUG = "countries/CollapsRussian.txt"
SHE = "countries/CollapsRussian.txt"
ALT = "countries/CollapsRussian.txt"
NVS = "countries/CollapsRussian.txt"
OMS = "countries/CollapsRussian.txt"
SBR = "countries/CollapsRussian.txt"
KNS = "countries/CollapsRussian.txt"
SAT = "countries/CollapsRussian.txt"
IRK = "countries/CollapsRussian.txt"
BRY = "countries/CollapsRussian.txt"
CHT = "countries/CollapsRussian.txt"
YAK = "countries/CollapsRussian.txt"
AMR = "countries/CollapsRussian.txt"
OHT = "countries/CollapsRussian.txt"
MGD = "countries/CollapsRussian.txt"
KMC = "countries/CollapsRussian.txt"
OMO = "countries/CollapsRussian.txt"
KAZ = "countries/Asian.txt"
ISM = "countries/Asian.txt"
KST = "countries/Asian.txt"
BUH = "countries/Asian.txt"
HRZ = "countries/Asian.txt"

MVA = "countries/Goebbels.txt"
MTA = "countries/Goebbels.txt"
MOA = "countries/Goebbels.txt"
MZA = "countries/Goebbels.txt"
BRG = "countries/Goebbels.txt"
